tweet,token
memang benar lowongan pekerjaan banyak mencantumkan vaksin syarat karyawannya punya pemikiran analisa baik logis,"['memang', 'benar', 'lowongan', 'pekerjaan', 'banyak', 'mencantumkan', 'vaksin', 'syarat', 'karyawannya', 'punya', 'pemikiran', 'analisa', 'baik', 'logis']"
lha siapa tahu kalau jadi kipi kalau tahu sakit pastinya gak vaksin,"['lha', 'siapa', 'tahu', 'kalau', 'jadi', 'kipi', 'kalau', 'tahu', 'sakit', 'pastinya', 'gak', 'vaksin']"
lha kalau tak vaksin tak naik kereta api pesawat padahal acara nikahan jakarta kemarennya tetangga boster tak naik kereta terpaksa vaksin ane piye jal,"['lha', 'kalau', 'tak', 'vaksin', 'tak', 'naik', 'kereta', 'api', 'pesawat', 'padahal', 'acara', 'nikahan', 'jakarta', 'kemarennya', 'tetangga', 'boster', 'tak', 'naik', 'kereta', 'terpaksa', 'vaksin', 'ane', 'piye', 'jal']"
ipar kk divaksin x kena covid masuk icu beberapa hari lha ane vaksin malah sakit vaskulistis pembekaan pembuluh darah mpe hampir bulan,"['ipar', 'kk', 'divaksin', 'x', 'kena', 'covid', 'masuk', 'icu', 'beberapa', 'hari', 'lha', 'ane', 'vaksin', 'malah', 'sakit', 'vaskulistis', 'pembekaan', 'pembuluh', 'darah', 'mpe', 'hampir', 'bulan']"
sini pcv aja kurang laku tun pdhal kota kabupaten wkwk aku pengen daftarin anakku buat pcv krna ga masuk sasaran usia eh yg masuk sasaran malah banyak yg ga mau pda takut sama vaksin baru,"['sini', 'pcv', 'aja', 'kurang', 'laku', 'tun', 'pdhal', 'kota', 'kabupaten', 'wkwk', 'aku', 'pengen', 'daftarin', 'anakku', 'buat', 'pcv', 'krna', 'ga', 'masuk', 'sasaran', 'usia', 'eh', 'yg', 'masuk', 'sasaran', 'malah', 'banyak', 'yg', 'ga', 'mau', 'pda', 'takut', 'sama', 'vaksin', 'baru']"
benar vaksin kali puasa dnah senen kamis insya allah tubuh jiwa terjaga amin,"['benar', 'vaksin', 'kali', 'puasa', 'dnah', 'senen', 'kamis', 'insya', 'allah', 'tubuh', 'jiwa', 'terjaga', 'amin']"
guys klo mau vaksin booster solo fess,"['guys', 'klo', 'mau', 'vaksin', 'booster', 'solo', 'fess']"
kereen semuanya,"['kereen', 'semuanya']"
stadion piala dunia u steril dipakai alah telek,"['stadion', 'piala', 'dunia', 'u', 'steril', 'dipakai', 'alah', 'telek']"
railmin syarat kereta solo sby skrg apa vaksin thx,"['railmin', 'syarat', 'kereta', 'solo', 'sby', 'skrg', 'apa', 'vaksin', 'thx']"
sate buntel kwi,"['sate', 'buntel', 'kwi']"
banyak warga sragen tolak vaksin booster migran care bantu edukasi,"['banyak', 'warga', 'sragen', 'tolak', 'vaksin', 'booster', 'migran', 'care', 'bantu', 'edukasi']"
indonesia,['indonesia']
butut,['butut']
modaro leeee,"['modaro', 'leeee']"
gw ga vaksin mungkin abis lahir disuntik pake coca cola,"['gw', 'ga', 'vaksin', 'mungkin', 'abis', 'lahir', 'disuntik', 'pake', 'coca', 'cola']"
membutuhkan vaksin booster silakan merapat loji gandrung sebelumnya berada ngarsopuro diadakan minggu selama stok tersedia gratis seluruh warga indonesia menunjukkan ktp,"['membutuhkan', 'vaksin', 'booster', 'silakan', 'merapat', 'loji', 'gandrung', 'sebelumnya', 'berada', 'ngarsopuro', 'diadakan', 'minggu', 'selama', 'stok', 'tersedia', 'gratis', 'seluruh', 'warga', 'indonesia', 'menunjukkan', 'ktp']"
aku lebih setuju wanita berpenghasilan sedapatnya tp tetap dirumah contoh content creator reseller barang pekerjaan sifatnya project based amp bs wfh cth translator buku majalah artikel gimanapun kayaknya otak perlu drill ilmu yg udh gak menguap,"['aku', 'lebih', 'setuju', 'wanita', 'berpenghasilan', 'sedapatnya', 'tp', 'tetap', 'dirumah', 'contoh', 'content', 'creator', 'reseller', 'barang', 'pekerjaan', 'sifatnya', 'project', 'based', 'amp', 'bs', 'wfh', 'cth', 'translator', 'buku', 'majalah', 'artikel', 'gimanapun', 'kayaknya', 'otak', 'perlu', 'drill', 'ilmu', 'yg', 'udh', 'gak', 'menguap']"
kementerian kesehatan memberikan vaksin covid dosis keempat tenaga kesehatan,"['kementerian', 'kesehatan', 'memberikan', 'vaksin', 'covid', 'dosis', 'keempat', 'tenaga', 'kesehatan']"
mending polio suntil vaksin babi kata ibunya,"['mending', 'polio', 'suntil', 'vaksin', 'babi', 'kata', 'ibunya']"
kan pabrik vaksin kopid biofarma baru mau dibangun kalo kopid hilang gak laku vaksin nya,"['kan', 'pabrik', 'vaksin', 'kopid', 'biofarma', 'baru', 'mau', 'dibangun', 'kalo', 'kopid', 'hilang', 'gak', 'laku', 'vaksin', 'nya']"
huft vaksin x booster x pernah jd alumni covid tp ga jamin kekebalan tubuhku ditakdirin fokus proposal emg,"['huft', 'vaksin', 'x', 'booster', 'x', 'pernah', 'jd', 'alumni', 'covid', 'tp', 'ga', 'jamin', 'kekebalan', 'tubuhku', 'ditakdirin', 'fokus', 'proposal', 'emg']"
fess nyuwun info vaksin ktp bebas dong,"['fess', 'nyuwun', 'info', 'vaksin', 'ktp', 'bebas', 'dong']"
updatenya bgmn,"['updatenya', 'bgmn']"
ku pernah ikut ambulance ngisi bensin waktu ambil vaksin,"['ku', 'pernah', 'ikut', 'ambulance', 'ngisi', 'bensin', 'waktu', 'ambil', 'vaksin']"
pas kkn banyak nemuin keluarga yg anti bu bidan desa vaksin an biasanya katanya agamannya gak,"['pas', 'kkn', 'banyak', 'nemuin', 'keluarga', 'yg', 'anti', 'bu', 'bidan', 'desa', 'vaksin', 'an', 'biasanya', 'katanya', 'agamannya', 'gak']"
terpantau jalan adi sucipto arah colomadu stadion manahan macet teratur jalan selamat sukses,"['terpantau', 'jalan', 'adi', 'sucipto', 'arah', 'colomadu', 'stadion', 'manahan', 'macet', 'teratur', 'jalan', 'selamat', 'sukses']"
pacarku mirip kamu,"['pacarku', 'mirip', 'kamu']"
emng iy gek lg vaksin pertama neh,"['emng', 'iy', 'gek', 'lg', 'vaksin', 'pertama', 'neh']"
klo mau naik kereta api solo malang misalnya syaratnya pakai vaksin boster dulu sih,"['klo', 'mau', 'naik', 'kereta', 'api', 'solo', 'malang', 'misalnya', 'syaratnya', 'pakai', 'vaksin', 'boster', 'dulu', 'sih']"
lhoh hasile wareg prasmanan,"['lhoh', 'hasile', 'wareg', 'prasmanan']"
aku yo seh seneng nganggo klambi tulisane pasoepati ngeneki gur ngenteni wayahe wae,"['aku', 'yo', 'seh', 'seneng', 'nganggo', 'klambi', 'tulisane', 'pasoepati', 'ngeneki', 'gur', 'ngenteni', 'wayahe', 'wae']"
info tempat vaksin lurr,"['info', 'tempat', 'vaksin', 'lurr']"
telat hudang jadi we teu kabagian vaksin booster,"['telat', 'hudang', 'jadi', 'we', 'teu', 'kabagian', 'vaksin', 'booster']"
solo square peduli vaksin pelayanan suntik vaksin sabtu november wib solo square lower ground sebelah hypermart ayo vaksin solo square,"['solo', 'square', 'peduli', 'vaksin', 'pelayanan', 'suntik', 'vaksin', 'sabtu', 'november', 'wib', 'solo', 'square', 'lower', 'ground', 'sebelah', 'hypermart', 'ayo', 'vaksin', 'solo', 'square']"
berburu vaksin booster,"['berburu', 'vaksin', 'booster']"
jemaah umrah tak wajib vaksin meningitis resmi loh,"['jemaah', 'umrah', 'tak', 'wajib', 'vaksin', 'meningitis', 'resmi', 'loh']"
fess info vaksin booster kampus dong guys kalau sekalian share jadwalnya yaa maaciiww,"['fess', 'info', 'vaksin', 'booster', 'kampus', 'dong', 'guys', 'kalau', 'sekalian', 'share', 'jadwalnya', 'yaa', 'maaciiww']"
warga sragen enggan ikut vaksin cakupan vaksinasi booster,"['warga', 'sragen', 'enggan', 'ikut', 'vaksin', 'cakupan', 'vaksinasi', 'booster']"
kemenkes tak wajibkan jemaah umrah vaksin meningitis,"['kemenkes', 'tak', 'wajibkan', 'jemaah', 'umrah', 'vaksin', 'meningitis']"
iki mas serem ali mabkhout,"['iki', 'mas', 'serem', 'ali', 'mabkhout']"
fess yg mau vaksin booster buruan ngoresan skrg ga antri trims,"['fess', 'yg', 'mau', 'vaksin', 'booster', 'buruan', 'ngoresan', 'skrg', 'ga', 'antri', 'trims']"
perhatian bupati sragen minta warga segera vaksin booster covid naik,"['perhatian', 'bupati', 'sragen', 'minta', 'warga', 'segera', 'vaksin', 'booster', 'covid', 'naik']"
kemenkes ri menyesuaikan kebijakan arab saudi umroh wajib vaksin meningitis sedang haji wajib vaksin meningitis,"['kemenkes', 'ri', 'menyesuaikan', 'kebijakan', 'arab', 'saudi', 'umroh', 'wajib', 'vaksin', 'meningitis', 'sedang', 'haji', 'wajib', 'vaksin', 'meningitis']"
urung vaksin kok ws mumet wae ki hadeeh,"['urung', 'vaksin', 'kok', 'ws', 'mumet', 'wae', 'ki', 'hadeeh']"
sayangi nyawamu nder ganti sayaang bahaya soalnya,"['sayangi', 'nyawamu', 'nder', 'ganti', 'sayaang', 'bahaya', 'soalnya']"
hari vaksin lagii,"['hari', 'vaksin', 'lagii']"
lurr info vaksin kucing seng regone murah dong matur suwun,"['lurr', 'info', 'vaksin', 'kucing', 'seng', 'regone', 'murah', 'dong', 'matur', 'suwun']"
elkan baggot opsi marcelino ferdinan,"['elkan', 'baggot', 'opsi', 'marcelino', 'ferdinan']"
ben iso ngene mas,"['ben', 'iso', 'ngene', 'mas']"
lebarnya layaknya landasan udara soekarno hatta,"['lebarnya', 'layaknya', 'landasan', 'udara', 'soekarno', 'hatta']"
fess info vaksin guys,"['fess', 'info', 'vaksin', 'guys']"
gara gara kena petir beberapa kali ngeground indihome mati ganti lan,"['gara', 'gara', 'kena', 'petir', 'beberapa', 'kali', 'ngeground', 'indihome', 'mati', 'ganti', 'lan']"
sebelahnya tora sudiro jerinx sid ngapain,"['sebelahnya', 'tora', 'sudiro', 'jerinx', 'sid', 'ngapain']"
aku open jasa joki nembak vaksin yaa masuk pedulilindungi permanen cepat aman desta first love,"['aku', 'open', 'jasa', 'joki', 'nembak', 'vaksin', 'yaa', 'masuk', 'pedulilindungi', 'permanen', 'cepat', 'aman', 'desta', 'first', 'love']"
info vaksin dosis area solo dong,"['info', 'vaksin', 'dosis', 'area', 'solo', 'dong']"
kemarin aja pak kok baru vaksin sekarang ngga mana trus kok mau vaksin mau berangkat thailand acara apa pak golek banci,"['kemarin', 'aja', 'pak', 'kok', 'baru', 'vaksin', 'sekarang', 'ngga', 'mana', 'trus', 'kok', 'mau', 'vaksin', 'mau', 'berangkat', 'thailand', 'acara', 'apa', 'pak', 'golek', 'banci']"
guys mau tanya kan vaksin sinovac trus vaksin yg kedua bukan sinovac pfizer gak sih,"['guys', 'mau', 'tanya', 'kan', 'vaksin', 'sinovac', 'trus', 'vaksin', 'yg', 'kedua', 'bukan', 'sinovac', 'pfizer', 'gak', 'sih']"
pasal vaksin pernah salah,"['pasal', 'vaksin', 'pernah', 'salah']"
aku vaksin gimana dunk,"['aku', 'vaksin', 'gimana', 'dunk']"
alhamndulilah cuma vaksin kali makan sehat segar sayuran hidup senantiyada iklas cari teman yg jujur berpeluang hidayah langit sap via melody porsi aman didunia scherst insya allah amin,"['alhamndulilah', 'cuma', 'vaksin', 'kali', 'makan', 'sehat', 'segar', 'sayuran', 'hidup', 'senantiyada', 'iklas', 'cari', 'teman', 'yg', 'jujur', 'berpeluang', 'hidayah', 'langit', 'sap', 'via', 'melody', 'porsi', 'aman', 'didunia', 'scherst', 'insya', 'allah', 'amin']"
stasiun balapan melayani vaksin booster,"['stasiun', 'balapan', 'melayani', 'vaksin', 'booster']"
ditemukan vaksin cacar pd vaksinasi global dikebut dr penyakit cacar akhirnya dimusnahkan gada lg pandemi endemi cacar jg merupakan pandemi pertama yg berhasil dimusnahkan sih sampel virus yg disimpen tp cm bwt riset,"['ditemukan', 'vaksin', 'cacar', 'pd', 'vaksinasi', 'global', 'dikebut', 'dr', 'penyakit', 'cacar', 'akhirnya', 'dimusnahkan', 'gada', 'lg', 'pandemi', 'endemi', 'cacar', 'jg', 'merupakan', 'pandemi', 'pertama', 'yg', 'berhasil', 'dimusnahkan', 'sih', 'sampel', 'virus', 'yg', 'disimpen', 'tp', 'cm', 'bwt', 'riset']"
sekilas info tambahan ilmu taun hernan cortez tiba meksiko bawa org prajurit budak populasi meksiko jt thn populasi suku aztec tgl jt kurang dr th cacarnya cortez membasmi penduduk aztec jmn dlu blm vaksin cacar,"['sekilas', 'info', 'tambahan', 'ilmu', 'taun', 'hernan', 'cortez', 'tiba', 'meksiko', 'bawa', 'org', 'prajurit', 'budak', 'populasi', 'meksiko', 'jt', 'thn', 'populasi', 'suku', 'aztec', 'tgl', 'jt', 'kurang', 'dr', 'th', 'cacarnya', 'cortez', 'membasmi', 'penduduk', 'aztec', 'jmn', 'dlu', 'blm', 'vaksin', 'cacar']"
cek ig aja nder sering info vaksin booster,"['cek', 'ig', 'aja', 'nder', 'sering', 'info', 'vaksin', 'booster']"
habis vaksin lagu vaksin lagii,"['habis', 'vaksin', 'lagu', 'vaksin', 'lagii']"
kini hadir vaksin booster peningkatan imun serangan virus silahkan hubungi mbak mendapatkan kartu kci kartu cidronesia sabar akses layanan vaksin version free payung,"['kini', 'hadir', 'vaksin', 'booster', 'peningkatan', 'imun', 'serangan', 'virus', 'silahkan', 'hubungi', 'mbak', 'mendapatkan', 'kartu', 'kci', 'kartu', 'cidronesia', 'sabar', 'akses', 'layanan', 'vaksin', 'version', 'free', 'payung']"
dr nomer ktp jadi pas cetak tiketnya udah tulisannya km udah vaksin berapa kali gt kalo booster g chek in stasiun,"['dr', 'nomer', 'ktp', 'jadi', 'pas', 'cetak', 'tiketnya', 'udah', 'tulisannya', 'km', 'udah', 'vaksin', 'berapa', 'kali', 'gt', 'kalo', 'booster', 'g', 'chek', 'in', 'stasiun']"
persyaratan naik kereta api sekarang vaksin booster dulu min,"['persyaratan', 'naik', 'kereta', 'api', 'sekarang', 'vaksin', 'booster', 'dulu', 'min']"
sakne banget iki wis kadung mbas tiket sepur lah kok wajib vaksin booster tolak dong tiketnya maneh gak iso refund tiketnya awak lek,"['sakne', 'banget', 'iki', 'wis', 'kadung', 'mbas', 'tiket', 'sepur', 'lah', 'kok', 'wajib', 'vaksin', 'booster', 'tolak', 'dong', 'tiketnya', 'maneh', 'gak', 'iso', 'refund', 'tiketnya', 'awak', 'lek']"
kak syarat naik krl jogja solo pp apa vaksin booster,"['kak', 'syarat', 'naik', 'krl', 'jogja', 'solo', 'pp', 'apa', 'vaksin', 'booster']"
idem vaksin hidayah allah baik jahat jujur bohong iklas pamrih siang malam benar salah udara tlah mencatat duper valid allah langsung jg mengatur,"['idem', 'vaksin', 'hidayah', 'allah', 'baik', 'jahat', 'jujur', 'bohong', 'iklas', 'pamrih', 'siang', 'malam', 'benar', 'salah', 'udara', 'tlah', 'mencatat', 'duper', 'valid', 'allah', 'langsung', 'jg', 'mengatur']"
bp mentri ra vaksin boster,"['bp', 'mentri', 'ra', 'vaksin', 'boster']"
kalo dosis pake bukti vaksin,"['kalo', 'dosis', 'pake', 'bukti', 'vaksin']"
mas masalah nihh temenku baru vaksin pertama masuk konser ga kak,"['mas', 'masalah', 'nihh', 'temenku', 'baru', 'vaksin', 'pertama', 'masuk', 'konser', 'ga', 'kak']"
mas kalo baru vaksin dosis pertama nonton konser mas kun ndak mas besok september soloo temenku baru dosis pertama,"['mas', 'kalo', 'baru', 'vaksin', 'dosis', 'pertama', 'nonton', 'konser', 'mas', 'kun', 'ndak', 'mas', 'besok', 'september', 'soloo', 'temenku', 'baru', 'dosis', 'pertama']"
ketinggalan jadwal booster mulu eh kok pas ngemall tiba tiba booth vaksin,"['ketinggalan', 'jadwal', 'booster', 'mulu', 'eh', 'kok', 'pas', 'ngemall', 'tiba', 'tiba', 'booth', 'vaksin']"
solo square peduli vaksin yuk loyal customer solo square melakukan vaksinasi segera solo square lantai depan cinema xxi solo square solo square,"['solo', 'square', 'peduli', 'vaksin', 'yuk', 'loyal', 'customer', 'solo', 'square', 'melakukan', 'vaksinasi', 'segera', 'solo', 'square', 'lantai', 'depan', 'cinema', 'xxi', 'solo', 'square', 'solo', 'square']"
kmu vaksin,"['kmu', 'vaksin']"
siap vaksin,"['siap', 'vaksin']"
nnyicil sek vaksin pertama,"['nnyicil', 'sek', 'vaksin', 'pertama']"
yuk sekrang wajib vaksin mau perjalana kereta,"['yuk', 'sekrang', 'wajib', 'vaksin', 'mau', 'perjalana', 'kereta']"
gajadi vaksin lah mager wkwk,"['gajadi', 'vaksin', 'lah', 'mager', 'wkwk']"
minim vaksin booster keknya,"['minim', 'vaksin', 'booster', 'keknya']"
info vaksin pantau akun ig puskesmas se kab klaten,"['info', 'vaksin', 'pantau', 'akun', 'ig', 'puskesmas', 'se', 'kab', 'klaten']"
mbuh lah wes rasido vaksin,"['mbuh', 'lah', 'wes', 'rasido', 'vaksin']"
mjb enggak kok minimal vaksin,"['mjb', 'enggak', 'kok', 'minimal', 'vaksin']"
betul kan jadi kasian yg vaksin berkali kali,"['betul', 'kan', 'jadi', 'kasian', 'yg', 'vaksin', 'berkali', 'kali']"
minimal vaksin,"['minimal', 'vaksin']"
bulan jadi vaksin,"['bulan', 'jadi', 'vaksin']"
ngemeng epeh vaksin sana dulu,"['ngemeng', 'epeh', 'vaksin', 'sana', 'dulu']"
vsksin ketiga berarti sehari doangkan pegelnya kalau aku udah vaksin kebera a lupa sih aku tuh,"['vsksin', 'ketiga', 'berarti', 'sehari', 'doangkan', 'pegelnya', 'kalau', 'aku', 'udah', 'vaksin', 'kebera', 'a', 'lupa', 'sih', 'aku', 'tuh']"
nyales vaksin untung berapa pak,"['nyales', 'vaksin', 'untung', 'berapa', 'pak']"
penataran malang blitar k kahuripan blitar lempuyangan k transit blitar jam an vaksin gausah antigen,"['penataran', 'malang', 'blitar', 'k', 'kahuripan', 'blitar', 'lempuyangan', 'k', 'transit', 'blitar', 'jam', 'an', 'vaksin', 'gausah', 'antigen']"
mau aja dikadalin tukang jual vaksin,"['mau', 'aja', 'dikadalin', 'tukang', 'jual', 'vaksin']"
solo square peduli vaksin pelayanan vaksinasi covid sabtu minggu juni wib solo square solo square,"['solo', 'square', 'peduli', 'vaksin', 'pelayanan', 'vaksinasi', 'covid', 'sabtu', 'minggu', 'juni', 'wib', 'solo', 'square', 'solo', 'square']"
aku abis vaksin booster,"['aku', 'abis', 'vaksin', 'booster']"
program vaksinasi booster dosis ketiga bekerja sama menggunakan jenis vaksin astrazaneca dibuka kuota hari pertama sebanyak dosis hari kedua dosis hari ketiga dosis,"['program', 'vaksinasi', 'booster', 'dosis', 'ketiga', 'bekerja', 'sama', 'menggunakan', 'jenis', 'vaksin', 'astrazaneca', 'dibuka', 'kuota', 'hari', 'pertama', 'sebanyak', 'dosis', 'hari', 'kedua', 'dosis', 'hari', 'ketiga', 'dosis']"
pecinta sepak bola solo ayo ikuti booster suporter mei pukul wib persis store amp cafe syarat berusia gt tahun vaksin dosis ii gt bulan lalu ber ktp domisili solo raya melakukan registration walk in persis store,"['pecinta', 'sepak', 'bola', 'solo', 'ayo', 'ikuti', 'booster', 'suporter', 'mei', 'pukul', 'wib', 'persis', 'store', 'amp', 'cafe', 'syarat', 'berusia', 'gt', 'tahun', 'vaksin', 'dosis', 'ii', 'gt', 'bulan', 'lalu', 'ber', 'ktp', 'domisili', 'solo', 'raya', 'melakukan', 'registration', 'walk', 'in', 'persis', 'store']"
melawan mei stadion gelora bung tomo surabaya kick off wib jadi ajang pemanasan liga bergengsi amp dinantikan pecinta sepak bola penonton langsung nonton tribun dgn syarat vaksin booster,"['melawan', 'mei', 'stadion', 'gelora', 'bung', 'tomo', 'surabaya', 'kick', 'off', 'wib', 'jadi', 'ajang', 'pemanasan', 'liga', 'bergengsi', 'amp', 'dinantikan', 'pecinta', 'sepak', 'bola', 'penonton', 'langsung', 'nonton', 'tribun', 'dgn', 'syarat', 'vaksin', 'booster']"
pengen jane ngepasi minggu barang aku rung minat vaksin pdhl seko official persissolo yo ngadakne vaksin sblum away rono wkwkwkw,"['pengen', 'jane', 'ngepasi', 'minggu', 'barang', 'aku', 'rung', 'minat', 'vaksin', 'pdhl', 'seko', 'official', 'persissolo', 'yo', 'ngadakne', 'vaksin', 'sblum', 'away', 'rono', 'wkwkwkw']"
males vaksin e po hahahah,"['males', 'vaksin', 'e', 'po', 'hahahah']"
anggota dpr ri mengapresiasi inovasi kapolresta solo memodernisasi peralatan kamera hingga layanan vaksin,"['anggota', 'dpr', 'ri', 'mengapresiasi', 'inovasi', 'kapolresta', 'solo', 'memodernisasi', 'peralatan', 'kamera', 'hingga', 'layanan', 'vaksin']"
monggo seng ajeng vaksin boster depan hotel amarelo singosaren dr jam siang,"['monggo', 'seng', 'ajeng', 'vaksin', 'boster', 'depan', 'hotel', 'amarelo', 'singosaren', 'dr', 'jam', 'siang']"
vaksin pertama njut vaksin boster ra bos kevin,"['vaksin', 'pertama', 'njut', 'vaksin', 'boster', 'ra', 'bos', 'kevin']"
inpo vaksin boster magetan vaksin buat kesehatan vaksin gawe nonton persis,"['inpo', 'vaksin', 'boster', 'magetan', 'vaksin', 'buat', 'kesehatan', 'vaksin', 'gawe', 'nonton', 'persis']"
pengen away rono meneh jek males vaksin booster wkekekke,"['pengen', 'away', 'rono', 'meneh', 'jek', 'males', 'vaksin', 'booster', 'wkekekke']"
solo square peduli vaksin ayo lengkapi dosis vaksin solo square,"['solo', 'square', 'peduli', 'vaksin', 'ayo', 'lengkapi', 'dosis', 'vaksin', 'solo', 'square']"
ayo lengkapi dosis vaksin wib lower ground samping hypermart solo square,"['ayo', 'lengkapi', 'dosis', 'vaksin', 'wib', 'lower', 'ground', 'samping', 'hypermart', 'solo', 'square']"
lah kok gituu kalo km puasa trus vaksin efek nya lohh khan kalo vaksin makan yg byk trus stl vaksin hrs makan biar gak efek drop nya,"['lah', 'kok', 'gituu', 'kalo', 'km', 'puasa', 'trus', 'vaksin', 'efek', 'nya', 'lohh', 'khan', 'kalo', 'vaksin', 'makan', 'yg', 'byk', 'trus', 'stl', 'vaksin', 'hrs', 'makan', 'biar', 'gak', 'efek', 'drop', 'nya']"
berati km gak puasa dong kalo vaksin,"['berati', 'km', 'gak', 'puasa', 'dong', 'kalo', 'vaksin']"
program sejuta vaksin bersama pc nu kota surakarta kementerian agama hari kamis sabtu tanggal april vaksinasi siang wib wib vaksinasi malam wib wib klinik bhayangkara jl slamet riyadi no surakarta,"['program', 'sejuta', 'vaksin', 'bersama', 'pc', 'nu', 'kota', 'surakarta', 'kementerian', 'agama', 'hari', 'kamis', 'sabtu', 'tanggal', 'april', 'vaksinasi', 'siang', 'wib', 'wib', 'vaksinasi', 'malam', 'wib', 'wib', 'klinik', 'bhayangkara', 'jl', 'slamet', 'riyadi', 'no', 'surakarta']"
mana ni vaksin mahal banget ampe jeti lu bayangin deh kalo gegara ni vaksin angka kematian indonesia gegara kanker serviks menurun drastis ape idup lo kagak tentram hah heran ayolah jangan jd orang terbelakang sih,"['mana', 'ni', 'vaksin', 'mahal', 'banget', 'ampe', 'jeti', 'lu', 'bayangin', 'deh', 'kalo', 'gegara', 'ni', 'vaksin', 'angka', 'kematian', 'indonesia', 'gegara', 'kanker', 'serviks', 'menurun', 'drastis', 'ape', 'idup', 'lo', 'kagak', 'tentram', 'hah', 'heran', 'ayolah', 'jangan', 'jd', 'orang', 'terbelakang', 'sih']"
kanker serviks tu jd momok menakutkan gue aja takut gue yakin temen perempuan gue jg nya lu pade ngomong vaksin vaksin yodah kalo gak mau tu diem aje gausah koar sok tau,"['kanker', 'serviks', 'tu', 'jd', 'momok', 'menakutkan', 'gue', 'aja', 'takut', 'gue', 'yakin', 'temen', 'perempuan', 'gue', 'jg', 'nya', 'lu', 'pade', 'ngomong', 'vaksin', 'vaksin', 'yodah', 'kalo', 'gak', 'mau', 'tu', 'diem', 'aje', 'gausah', 'koar', 'sok', 'tau']"
